數據集編號,數據集名稱（繁體）,數據集名稱（簡體）,數據集名稱（葡文）,數據集名稱（英文）,摘要（繁體）,摘要（簡體）,摘要（葡文）,摘要（英文）,數據分類（繁體）,數據分類（簡體）,數據分類（葡文）,數據分類（英文）,開放條件,數據格式,是否地理空間數據,提供部門/實體（繁體）,提供部門/實體（簡體）,提供部門/實體（葡文）,提供部門/實體（英文）,提供部門/實體聯絡電話,提供部門/實體聯絡電郵,目録API,更新頻率,下載次數,瀏覽次數,最後更新時間,首次發佈時間
52beb52e-b8ea-4922-aeaf-6dbb4a93c150,主要山丘高度,主要山丘高度,Altitude das principais elevações,,澳門特別行政區各主要山丘高度,澳门特别行政区各主要山丘高度,Altitude das principais elevações das diversas zonas da RAEM,,城市環境   ,城市环境   ,Ambiente Urbano   ,,完全開放,XLSX,否,地圖繪製暨地籍局,地图绘制暨地籍局,Direcção dos Serviços de Cartografia e Cadastro,,(853) 2834 0040,mail@dscc.gov.mo,https://api.data.gov.mo/document/download/52beb52e-b8ea-4922-aeaf-6dbb4a93c150?token=null&isNeedFile=0&lang=TC,按需要,68,89,2020-06-18 15:08:32,2019-04-08 15:14:17
d0bfda7a-6873-40e3-be2c-bbebfad3628c,不過夜旅客,不过夜旅客,Excursionista,,未在旅遊地區的任何住宅單位、酒店/公寓，又或娛樂場等地過夜，亦沒有在酒店/公寓安排住宿的旅客。,未在旅游地区的任何住宅单位、酒店/公寓，又或娱乐场等地过夜，亦没有在酒店/公寓安排住宿的旅客。,"Visitante que não passa uma noite em qualquer tipo de unidade de alojamento, hotel/pensão ou casino do território visitado, nem tem reserva de alojamento em qualquer hotel/pensão.",,旅遊及博彩   ,旅游及博彩   ,Turismo e Jogo   ,,完全開放,XLSX,否,統計暨普查局,统计暨普查局,Direcção dos Serviços de Estatística e Censos,,(853) 8399 5311,info@dsec.gov.mo ,https://api.data.gov.mo/document/download/d0bfda7a-6873-40e3-be2c-bbebfad3628c?token=null&isNeedFile=0&lang=TC,每月,76,89,2023-08-31 12:36:01,2020-08-12 18:06:38
8e124be2-c834-445d-9054-a49cc77d8ab4,實時潮汐資料,实时潮汐资料,Altura actual da maré,,查詢實時潮汐資料,查询实时潮汐资料,Altura actual da maré,,城市環境   ,城市环境   ,Ambiente Urbano   ,,完全開放,XML,否,海事及水務局,海事及水務局,DSAMA,,28559922,info@marine.gov.mo,https://api.data.gov.mo/document/download/8e124be2-c834-445d-9054-a49cc77d8ab4?token=null&isNeedFile=0&lang=TC,每日,0,88,2022-06-17 15:25:00,2022-06-17 11:50:28
c0e46411-6edf-4ce3-9de0-04ec90d5d075,會展活動與會者／入場觀眾,会展活动与会者／入场观众,"Participantes/visitantes de reuniões, conferências, exposições e eventos de incentivo",,會展活動之參與人次。,会展活动之参与人次。,"Número de indivíduos que participaram em reuniões, conferências e eventos de incentivo ou que visitaram exposições.",,創業及營商   ,创业及营商   ,Empreendedorismo e Negócios   ,,完全開放,XLSX,否,統計暨普查局,统计暨普查局,Direcção dos Serviços de Estatística e Censos,,(853) 8399 5311,info@dsec.gov.mo ,https://api.data.gov.mo/document/download/c0e46411-6edf-4ce3-9de0-04ec90d5d075?token=null&isNeedFile=0&lang=TC,每季,40,88,2023-08-31 12:36:22,2020-08-13 14:40:45
eeedd78d-ef09-47a8-a69a-04fa7ae73455,獲發使用准照住宅單位,获发使用准照住宅单位,Fracções autónomas habitacionais com licença de utilização emitida,,於參考期間獲發使用准照（俗稱“入伙紙＂）的住宅單位；2017年前稱為“建成”。,於參考期間獲發使用准照（俗稱“入伙紙＂）的住宅單位；2017年前稱為“建成”。,"Fracções autónomas habitacionais para as quais foi emitida licença de utilização, no período de referência. O empreendimento foi designado “concluído” antes de 2017.",,住房人口   ,住房人口   ,Habitação e População   ,,完全開放,XLSX,否,統計暨普查局,统计暨普查局,Direcção dos Serviços de Estatística e Censos,,(853) 8399 5311,info@dsec.gov.mo,https://api.data.gov.mo/document/download/eeedd78d-ef09-47a8-a69a-04fa7ae73455?token=null&isNeedFile=0&lang=TC,每季,68,88,2023-08-31 12:35:44,2019-06-12 12:39:36
fd8c9c78-caba-4f4c-bd0b-cf1df2c38de4,商務包機和私人飛機起降架次,商务包机和私人飞机起降架次,Número de Movimentos de aviação executiva e jactos privados,,按年提供澳門國際機場的商務包機和私人飛機的起降架次,按年提供澳门国际机场的商务包机和私人飞机的起降架次,Fornece anualmente o número de movimentos de aviação executiva e jactos privados no Aeroporto Internacional de Macau,,公共交通   ,公共交通   ,Transportes Públicos   ,,完全開放,XLSX,否,民航局,民航局,Autoridade de Aviação Civil,,(853) 28511213,aacm@aacm.gov.mo,https://api.data.gov.mo/document/download/fd8c9c78-caba-4f4c-bd0b-cf1df2c38de4?token=null&isNeedFile=0&lang=TC,每季,49,88,2023-04-06 11:06:19,2020-09-24 12:24:12
e326e401-0c7b-47b0-a523-52b93d4e08e9,博彩業全職僱員,博彩业全职雇员,Trabalhador a tempo completo do sector das lotarias e outros jogos de aposta,,按場所規定有關職級或職位的正常工作時間上班之博彩業員工。,按场所规定有关职级或职位的正常工作时间上班之博彩业员工。,"Indivíduo que trabalha no sector das lotarias e outros jogos de aposta e cumpre o período normal de trabalho em vigor no estabelecimento, conforme a respectiva ocupação profissional e/ou posto de trabalho.",,就業   ,就业   ,Emprego   ,,完全開放,XLSX,否,統計暨普查局,统计暨普查局,Direcção dos Serviços de Estatística e Censos,,(853) 8399 5311,info@dsec.gov.mo ,https://api.data.gov.mo/document/download/e326e401-0c7b-47b0-a523-52b93d4e08e9?token=null&isNeedFile=0&lang=TC,每半年,56,87,2023-08-31 12:35:21,2020-08-12 18:06:08
0d6dd204-5bc0-49f3-9b7a-7d9e6eb58020,澳門垃圾焚化中心尾氣數據,澳门垃圾焚化中心尾气数据,Dados de estação de tratamento de resíduos especiais e perigosos de Macau - nome da estação,,關於澳門垃圾焚化中心尾氣數據,关于澳门垃圾焚化中心尾气数据,Sobre os dados de estação de tratamento de resíduos especiais e perigosos de Macau - nome da estação,,城市環境   ,城市环境   ,Ambiente Urbano   ,,完全開放,JSON,否,環境保護局,环境保护局,Direcção dos Serviços de Protecção Ambiental,,+853 2872 5134,info@dspa.gov.mo,https://api.data.gov.mo/document/download/0d6dd204-5bc0-49f3-9b7a-7d9e6eb58020?token=null&isNeedFile=0&lang=TC,按需要,0,86,2021-03-29 17:45:43,2021-03-16 12:30:13
5c54abdd-aada-4486-9683-121174f9fad6,澳門國際機場貨運量,澳门国际机场货运量,Volume de Carga no Aeroporto Internacional de Macau,,按年提供澳門國際機場的貨運數量,按年提供澳门国际机场的货运数量,Fornecer anualmente o volume de carga no Aeroporto Internacional de Macau,,公共交通   ,公共交通   ,Transportes Públicos   ,,完全開放,JSON,否,民航局,民航局,Autoridade de Aviação Civil,,(853) 28511213,aacm@aacm.gov.mo,https://api.data.gov.mo/document/download/5c54abdd-aada-4486-9683-121174f9fad6?token=null&isNeedFile=0&lang=TC,每月,39,85,2023-03-24 12:43:27,2020-09-24 12:24:23
9d257556-9d52-4a59-afa0-d1a2a2bab0a8,污水處理廠數據(氹仔),污水处理厂数据(氹仔),Dados de estação de tratamento de águas residuais(Taipa),,"關於污水處理廠數據(氹仔)
Category: 
taipa - 氹仔污水處理廠","关于污水处理厂数据(氹仔)
Category:
taipa -  氹仔污水处理厂 ","Sobre os dados de estação de tratamento de águas residuais(Taipa)
Category: 
taipa - Estação de Tratamento de Águas Residuais da Taipa",,城市環境   ,城市环境   ,Ambiente Urbano   ,,完全開放,JSON,否,環境保護局,环境保护局,Direcção dos Serviços de Protecção Ambiental,,+853 2872 5134,info@dspa.gov.mo,https://api.data.gov.mo/document/download/9d257556-9d52-4a59-afa0-d1a2a2bab0a8?token=null&isNeedFile=0&lang=TC,每月,0,85,2021-03-23 17:11:02,2021-03-22 15:02:13
ab086024-b35e-4a5e-bf57-8a3c93822830,人力資源範疇按專科部門劃分的專科醫生數目,人力资源范畴按专科部门划分的专科医生数目,"Número de médicos especialistas por serviço de cuidados diferenciados, na área de recursos humanos ",,人力資源範疇中，以專科部門劃分的專科醫生數目,人力资源范畴中，以专科部门划分的专科医生数目,"Número de médicos especialistas por serviço de cuidados diferenciados, na área de recursos humanos",,醫療衛生   ,医疗卫生   ,Saúde   ,,完全開放,XLSX,否,衛生局,卫生局,Serviços de Saúde,,83905000,info@ssm.gov.mo,https://api.data.gov.mo/document/download/ab086024-b35e-4a5e-bf57-8a3c93822830?token=null&isNeedFile=0&lang=TC,每年,92,85,2022-11-26 13:10:44,2019-11-13 09:52:02
a610b85a-766c-4352-8847-3569bde2d028,發明專利註冊申請量,发明专利注册申请量,Números dos Pedidos de Registo de Patente de Invenção,,按每月方式，提供發明專利註冊申請統計資料,按每月方式，提供发明专利注册申请统计资料,Dados estatísticos dos pedidos de extensão de patente de invenção disponibilizados mensalmente,,創業及營商   ,创业及营商   ,Empreendedorismo e Negócios   ,,完全開放,CSV,否,經濟及科技發展局,经济及科技发展局,Direcção dos Serviços de Economia e Desenvolvimento Tecnológico,,(853) 2888 2088,info@dsedt.gov.mo,https://api.data.gov.mo/document/download/a610b85a-766c-4352-8847-3569bde2d028?token=null&isNeedFile=0&lang=TC,每月,44,84,2023-09-05 16:20:30,2020-09-16 12:08:39
a9b52a2a-f878-40cb-8d47-7afd4f16bb5b,旅行社資料,旅行社资料,Informacoes dos Agencia de Viagens ,,"已領有牌照之實體 - 旅行社資料
","已领有牌照之实体 - 旅行社资料
","Informacoes dos entidades licenciadas - Agencia de Viagens
",,旅遊及博彩   ,旅游及博彩   ,Turismo e Jogo   ,,完全開放,XML,否,旅遊局,旅游局,Direcção dos Serviços de Turismo,,(853)28315566,webmaster@macaotourism.gov.mo,https://api.data.gov.mo/document/download/a9b52a2a-f878-40cb-8d47-7afd4f16bb5b?token=null&isNeedFile=0&lang=TC,每日,39,84,2023-09-20 07:47:03,2019-11-14 18:14:05
03d23070-6d3a-4064-8236-e1e7517032f1,公務人員數目統計—按僱傭法律關係劃分,公务人员数目统计—按雇佣法律关系划分,Estatística do número de trabalhadores dos serviços públicos - de acordo com as relações jurídicas de emprego público,,按年以季度方式，提供按僱傭法律關係劃分的澳門特別行政區公共行政人力資源的公務人員數目。不包括受私法制度規範的基金會及其他公共機構（包括澳門基金會、澳門貿易投資促進局、澳門金融管理局、澳門大學、澳門理工學院及民航局）的人員。,按年以季度方式，提供按雇佣法律关系划分的澳门特别行政区公共行政人力资源的公务人员数目。不包括受私法制度规范的基金会及其他公共机构（包括澳门基金会、澳门贸易投资促进局、澳门金融管理局、澳门大学、澳门理工学院及民航局）的人员。,"Número de trabalhadores dos serviços públicos disponibilizados  trimestralmente por ano pelos recursos humanos da Administração Pública da RAEM de acordo com as relações jurídicas de emprego público. Não incluindo os trabalhadores das fundações e dos outros organismos públicos que se regem pelo regime de direito privado (Fundação Macau, Instituto de Promoção do Comércio e do Investimento de Macau, Autoridade Monetária de Macau, Universidade de Macau, Instituto Politécnico de Macau e Autoridade de Aviação Civil).",,行政及法律事務   ,行政及法律事务   ,Assuntos Administrativo e Jurídico   ,,完全開放,CSV,否,行政公職局,行政公职局,Direcção dos Serviços de Administração e Função Pública,,（853）88099171,dprtsp@safp.gov.mo,https://api.data.gov.mo/document/download/03d23070-6d3a-4064-8236-e1e7517032f1?token=null&isNeedFile=0&lang=TC,每季,53,83,2023-07-13 14:54:36,2019-12-16 14:58:29
a31814e1-1843-4903-8cab-8d49af328f73,衛生範疇年終人口統計,卫生范畴年终人口统计,"Estatísticas da populaçào no final do ano, na área de saúde",,衛生範疇中，以性別區分之年終人口統計,卫生范畴中，以性别区分之年终人口统计,"Estatísticas da populaçào no final do ano, na área de saúde",,醫療衛生   ,医疗卫生   ,Saúde   ,,完全開放,XLSX,否,衛生局,卫生局,Serviços de Saúde,,83905000,info@ssm.gov.mo,https://api.data.gov.mo/document/download/a31814e1-1843-4903-8cab-8d49af328f73?token=null&isNeedFile=0&lang=TC,每年,90,83,2022-11-26 16:36:34,2019-11-05 11:06:12
3a12e3e0-769c-40f0-acbb-e6000160335e,供水量,供水量,Volume de Água Abastecida,,自2006年1月起經食水處理廠處理的食水量統計。,自2006年1月起经食水处理厂处理的食水量统计。,Dados estatísticos do volume de água tratada nas estações de tratamento de água desde Janeiro de 2006,,城市環境   ,城市环境   ,Ambiente Urbano   ,,完全開放,XLSX,否,海事及水務局,海事及水務局,DSAMA,,28559922  ,info@marine.gov.mo,https://api.data.gov.mo/document/download/3a12e3e0-769c-40f0-acbb-e6000160335e?token=null&isNeedFile=0&lang=TC,每月,36,82,2023-09-18 16:40:29,2021-11-04 10:49:11
7ad279ae-c84a-4885-9461-d571fddb2791,接送員名單,接送员名单,Lista dos transferistas,,接送員名單,接送员名单,"Lista dos transferistas
",,旅遊及博彩   ,旅游及博彩   ,Turismo e Jogo   ,,完全開放,XML,否,旅遊局,旅游局,Direcção dos Serviços de Turismo,,(853)28315566,webmaster@macaotourism.gov.mo,https://api.data.gov.mo/document/download/7ad279ae-c84a-4885-9461-d571fddb2791?token=null&isNeedFile=0&lang=TC,每日,19,82,2023-09-20 08:02:02,2020-11-11 11:49:24
69197380-acf5-4a48-afe2-a19168ccdb86,季度社會保障制度失業津貼受領人次及金額(澳門元),季度社会保障制度失业津贴受领人次及金额(澳门元),Número de vezes e montante (em patacas) de recebimento do subsídio de desemprego do regime da segurança social por trimestre,,以季度方式提供在相關季度的期間內，失業津貼的受領人次及金額,以季度方式提供在相关季度的期间内，失业津贴的受领人次及金额,A prestação trimestral do número de vezes e montante de recebimento do subsídio de desemprego  durante o respectivo trimestre,,社會保障   ,社会保障   ,Segurança Social   ,,完全開放,"XLS,XLSX",否,社會保障基金,社会保障基金,Fundo de Segurança Social,,2853 2850,at@fss.gov.mo,https://api.data.gov.mo/document/download/69197380-acf5-4a48-afe2-a19168ccdb86?token=null&isNeedFile=0&lang=TC,每季,67,81,2023-07-20 17:03:19,2021-10-20 17:03:39
e713a8d9-1fe3-47c4-a2b4-f4da39d1328e,法人選民登記統計,法人选民登记统计,Estatística Sobre o Recenseamento Eleitoral de Pessoas Colectivas,,"登載於《選民登記冊》各社會利益或界別的法人選民登記數目。
年份為《選民登記冊》的展示年份，反映的數目為截至前一截止登記日的數目。","登载于《选民登记册》各社会利益或界别的法人选民登记数目。
年份为《选民登记册》的展示年份，反映的数目为截至前一截止登记日的数目。","Número de pessoas colectivas eleitoras de diversos interesses sociais ou colégios inscritas, nos Cadernos de recenseamento.
O ano de exposição dos cadernos de recenseamento, cujo número é reportado até à véspera do termo do prazo das inscrições.",,行政及法律事務   ,行政及法律事务   ,Assuntos Administrativo e Jurídico   ,,完全開放,XLSX,否,行政公職局,行政公职局,Direcção dos Serviços de Administração e Função Pública,,（853）28323623,info@safp.gov.mo,https://api.data.gov.mo/document/download/e713a8d9-1fe3-47c4-a2b4-f4da39d1328e?token=null&isNeedFile=0&lang=TC,按需要,52,80,2023-02-09 10:20:54,2019-03-30 17:18:42
84a3e7ee-6509-4e28-868c-c9c1dee325bc,可疑交易報告數據,可疑交易报告数据,Estatísticas do número de STRs,,按各舉報機構分類，依季度累計可疑交易報告數量,按各举报机构分类，依季度累计可疑交易报告数量,"Cumulative count on STR reports based on sectors, partitioned by quarters.",,公共安全及出入境   ,公共安全及出入境   ,Segurança Pública e Migração   ,,完全開放,"XML,XLSX",否,金融情報辦公室	,金融情報辦公室	,GIF,,28523666,info@gif.gov.mo,https://api.data.gov.mo/document/download/84a3e7ee-6509-4e28-868c-c9c1dee325bc?token=null&isNeedFile=0&lang=TC,每季,56,79,2023-07-12 14:43:55,2021-10-08 16:49:59
dd5a6c53-0fea-49f7-a79e-0b24b3ce2217,市民整體滿意度調查(一般公共服務),市民整体满意度调查(一般公共服务),Situação da satisfação do cidadão no âmbito de serviços,,市民整體滿意度調查(一般公共服務),市民整体满意度调查(一般公共服务),Situação da satisfação do cidadão no âmbito de serviços,,公共安全及出入境   ,公共安全及出入境   ,Segurança Pública e Migração   ,,完全開放,XLSX,否,治安警察局,治安警察局,CPSP,,87905684,cfLao@fsm.gov.mo,https://api.data.gov.mo/document/download/dd5a6c53-0fea-49f7-a79e-0b24b3ce2217?token=null&isNeedFile=0&lang=TC,按需要,62,79,2023-07-04 09:32:41,2021-12-02 12:07:34
629f6591-b09c-42b3-937a-bd6ca9a64bb2,非強制央積金—公積金共同計劃僱主數目,非强制央积金—公积金共同计划雇主数目,Regime de previdência central não obrigatório - Número de empregadores do plano conjunto de previdência,,"由2018年非強制央積金實施起, 累計設立公積金共同計劃的僱主數目。","由2018年非强制央积金实施起, 累计设立公积金共同计划的雇主数目。","Desde a implementação do regime de previdência central não obrigatório em 2018, o número acumulado de empregadores que criaram o plano conjunto de previdência.",,社會保障   ,社会保障   ,Segurança Social   ,,完全開放,"XLSX,XLS",否,社會保障基金,社会保障基金,Fundo de Segurança Social,,2853 2850,at@fss.gov.mo,https://api.data.gov.mo/document/download/629f6591-b09c-42b3-937a-bd6ca9a64bb2?token=null&isNeedFile=0&lang=TC,每季,58,78,2023-07-20 17:00:04,2021-10-20 17:00:31
6dd9ca45-c648-43a6-acd0-f9bec0d061c7,青年創業援助計劃統計 - 受惠行業,青年创业援助计划统计 - 受惠行业,Estatística do “Plano de Apoio a Jovens Empreendedores” – Actividades económicas beneficiadas,,提供青年創業援助計劃受惠行業統計數據,提供青年创业援助计划受惠行业统计数据,Dados estatísticos das actividades económicas beneficiadas pelo “Plano de Apoio a Jovens Empreendedores”,,創業及營商   ,创业及营商   ,Empreendedorismo e Negócios   ,,完全開放,CSV,否,經濟及科技發展局,经济及科技发展局,Direcção dos Serviços de Economia e Desenvolvimento Tecnológico,,(853) 2888 2088,info@dsedt.gov.mo,https://api.data.gov.mo/document/download/6dd9ca45-c648-43a6-acd0-f9bec0d061c7?token=null&isNeedFile=0&lang=TC,每月,42,78,2023-09-05 16:20:50,2020-10-30 12:01:57
00b9b887-2179-4185-ba26-0fdd351863ff,澳門空運經營人,澳门空运经营人,Os Titulares de Certificados de Operador de Aéreo (AOC) em Macau,,已核准的空運經營人清單,已核准的空运经营人清单,Lista de Certificados de Operador de Aéreo (AOC),,公共交通   ,公共交通   ,Transportes Públicos   ,,完全開放,"XLS,XLSX",否,民航局,民航局,Autoridade de Aviação Civil,,(853) 28511213,aacm@aacm.gvo.mo,https://api.data.gov.mo/document/download/00b9b887-2179-4185-ba26-0fdd351863ff?token=null&isNeedFile=0&lang=TC,每年,40,77,2023-04-03 10:44:12,2021-06-10 12:12:02
57964cb5-5868-47e5-bd8d-334385467a21,垃圾房,垃圾房,Depósitos de lixo fechados,,提供各區垃圾房的位置資訊。,提供各区垃圾房的位置信息。,Informações disponíveis sobre a localização dos depósitos de lixo fechados de diversas zonas,,城市環境   ,城市环境   ,Ambiente Urbano   ,,完全開放,JSON,否,市政署,市政署,Instituto para os Assuntos Municipais,,(853) 2833 7676,ccgo@iam.gov.mo,https://api.data.gov.mo/document/download/57964cb5-5868-47e5-bd8d-334385467a21?token=null&isNeedFile=0&lang=TC,每日,66,77,2023-09-12 10:00:04,2021-09-23 12:28:41
ae8284e6-b819-4f5b-95e1-45e1e9d93c17,文化發展基金-獲資助項目數據,文化发展基金-获资助项目数据,Fundo de Desenvolvimento da Cultura - Dados de apoio financeiro,,成功申請(常規資助)的企業名單及資助項目數據,成功申请(常规资助)的企业名单及资助项目数据,Dados da lista das empresas e designações dos projectos após aprovação (candidaturas regulares),,創業及營商   ,创业及营商   ,Empreendedorismo e Negócios   ,,完全開放,XML,否,文化發展基金,文化發展基金,Fundo de Desenvolvimento da Cultura,,(853) 2850 1000	,info@fdc.gov.mo	,https://api.data.gov.mo/document/download/ae8284e6-b819-4f5b-95e1-45e1e9d93c17?token=null&isNeedFile=0&lang=TC,每季,29,77,2022-04-06 12:07:49,2021-12-03 16:26:58
d8ee0606-97e9-4914-82a4-38737b88bcbf,社區醫療衛生 (其他)按堂區劃分的藥房、藥行和中藥房以及藥廠數目,社区医疗卫生 (其他)按堂区划分的药房、药行和中药房以及药厂数目,"Número de fármácias, drogarias, farmácias chinesas e fábricas de medicamentos por freguesias, na área de cuidados de saúde comunitários(outros)",,社區醫療衛生 (其他)按堂區劃分的藥房、藥行和中藥房以及藥廠數目,社区医疗卫生 (其他)按堂区划分的药房、药行和中药房以及药厂数目,"Número de fármácias, drogarias, farmácias chinesas e fábricas de medicamentos por freguesias, na área de cuidados de saúde comunitários(outros)",,醫療衛生   ,医疗卫生   ,Saúde   ,,完全開放,XLSX,否,衛生局,卫生局,Serviços de Saúde,,83905000,info@ssm.gov.mo,https://api.data.gov.mo/document/download/d8ee0606-97e9-4914-82a4-38737b88bcbf?token=null&isNeedFile=0&lang=TC,每年,99,77,2022-11-26 15:48:21,2019-11-13 09:54:30
df178ecd-228d-4218-a8ed-741e59e7811d,雷暴警告,雷暴警告,Trovoada,,提供現時生效的雷暴警告信號及有效時間。,提供现时生效的雷暴警告信号及有效时间。,Informações sobre sinal de trovoada e duração prevista.,,城市環境   ,城市环境   ,Ambiente Urbano   ,,完全開放,XML,否,地球物理暨氣象局,地球物理暨气象局,Direcção dos Serviços Meteorológicos e Geofísicos,,(853) 8898 6223,meteo@smg.gov.mo,https://api.data.gov.mo/document/download/df178ecd-228d-4218-a8ed-741e59e7811d?token=null&isNeedFile=0&lang=TC,按需要,0,77,2022-02-10 12:20:19,2019-07-02 17:15:47
1d5b4eed-9d6a-4da9-b79f-1298762926c9,澳門大學圖書館入館人數,澳门大学图书馆入馆人数,Número de visitas à Biblioteca da Universidade de Macau,,澳門大學圖書館每年入館人數。,澳门大学图书馆每年入馆人数。,Número de visitas à Biblioteca da Universidade de Macau por ano.,,教育   ,教育   ,Educação   ,,完全開放,XLSX,否,澳門大學,澳門大學,UM,,（853） 8822 8833,info@um.edu.mo,https://api.data.gov.mo/document/download/1d5b4eed-9d6a-4da9-b79f-1298762926c9?token=null&isNeedFile=0&lang=TC,每年,46,76,2023-05-22 11:55:11,2021-12-01 14:53:45
87bd55b3-29cf-4bde-86d3-d41e377efb0c,工作環境的職業安全健康巡查,工作环境的职业安全健康巡查,Visitas Inspectivas sobre Segurança e Saúde Ocupaciona,,工作環境的職業安全健康巡查,工作环境的职业安全健康巡查,Visitas Inspectivas sobre Segurança e Saúde Ocupaciona,,就業   ,就业   ,Emprego   ,,完全開放,"XLS,XLSX",否,勞工事務局,劳工事务局,Direcção dos Serviços para os Assuntos Laborais,,2871 7781,dsaldsso@dsal.gov.mo,https://api.data.gov.mo/document/download/87bd55b3-29cf-4bde-86d3-d41e377efb0c?token=null&isNeedFile=0&lang=TC,每月,18,76,2023-06-30 17:33:11,2021-11-18 16:40:54
00933b5d-501f-4974-bd97-bbea4d3889bd,新成立公司註冊資本,新成立公司注册资本,Capital social das sociedades constituídas,,公司設立時登記注入之資本總額。,公司设立时登记注入之资本总额。,Refere-se ao valor total de capital social registado aquando da constituição da sociedade.,,創業及營商   ,创业及营商   ,Empreendedorismo e Negócios   ,,完全開放,XLSX,否,統計暨普查局,统计暨普查局,Direcção dos Serviços de Estatística e Censos,,(853) 8399 5311,info@dsec.gov.mo ,https://api.data.gov.mo/document/download/00933b5d-501f-4974-bd97-bbea4d3889bd?token=null&isNeedFile=0&lang=TC,每季,33,75,2023-08-31 12:35:27,2020-08-13 14:40:38
1ad29f2a-e952-44bd-aafc-33479574f78a,非強制央積金—公積金個人計劃人數,非强制央积金—公积金个人计划人数,Regime de previdência central não obrigatório - Número de indivíduos do plano individual de previdência,,"由2018年非強制央積金實施起, 累計設立公積金個人計劃人數。","由2018年非强制央积金实施起, 累计设立公积金个人计划人数。","Desde a implementação do regime de previdência central não obrigatório em 2018, o número acumulado de indivíduos que criaram o plano individual de previdência.",,社會保障   ,社会保障   ,Segurança Social   ,,完全開放,"XLS,XLSX",否,社會保障基金,社会保障基金,Fundo de Segurança Social,,2853 2850,at@fss.gov.mo,https://api.data.gov.mo/document/download/1ad29f2a-e952-44bd-aafc-33479574f78a?token=null&isNeedFile=0&lang=TC,每季,51,72,2023-07-20 17:00:09,2021-10-20 17:00:10
3682eec7-81d4-4498-aed7-9273c4d40f01,專科衛生護理範疇按專科劃分的住院病人數目,专科卫生护理范畴按专科划分的住院病人数目,"Número de internamentos hospitalares por especialidade, na área de cuidados de saúde diferenciados",,專科衛生護理範疇中，按專科劃分的住院病人數目,专科卫生护理范畴中，按专科划分的住院病人数目,"Número de internamentos hospitalares por especialidade, na área de cuidados de saúde generalizados",,醫療衛生   ,医疗卫生   ,Saúde   ,,完全開放,XLSX,否,衛生局,卫生局,Serviços de Saúde,,83905000,info@ssm.gov.mo,https://api.data.gov.mo/document/download/3682eec7-81d4-4498-aed7-9273c4d40f01?token=null&isNeedFile=0&lang=TC,每年,74,72,2022-11-26 16:04:37,2019-11-13 15:52:16
582f5794-e8bc-49eb-ab59-005d085b6262,少年感化院院生年齡統計,少年感化院院生年龄统计,Estatística sobre a classe etária dos jovens internados no Instituto de Menores,,少年感化院院生年齡統計,少年感化院院生年龄统计,Estatística sobre a classe etária dos jovens internados no Instituto de Menores,,公共安全及出入境   ,公共安全及出入境   ,Segurança Pública e Migração   ,,完全開放,"XLS,XLSX",否,懲教管理局,懲教管理局,DSC,,28881211,info@dsc.gov.mo,https://api.data.gov.mo/document/download/582f5794-e8bc-49eb-ab59-005d085b6262?token=null&isNeedFile=0&lang=TC,每年,26,72,2023-01-10 17:12:37,2022-03-21 10:23:00
80ddc191-fc5d-4f00-868d-cdf0c6144997,行政長官選舉委員會委員選舉結果統計,行政长官选举委员会委员选举结果统计,Resultado das Eleições dos Membros da Comissão Eleitoral do Chefe do Executivo,,2004年至今，行政長官選舉委員會之第一界別、第二界別各分組及第三界別中的勞工界和社會服務界委員選舉的結果統計,2004年至今，行政长官选举委员会之第一界别、第二界别各分组及第三界别中的劳工界和社会服务界委员选举的结果统计,"Estatísticas dos resultados das eleições dos membros do 1.º sector, dos subsectores do 2.º sector, do subsector do trabalho e dos serviços sociais do 3.º sector, da Comissão Eleitoral do Chefe do Executivo, de 2004 até à data",,行政及法律事務   ,行政及法律事务   ,Assuntos Administrativo e Jurídico   ,,完全開放,XLSX,否,行政公職局,行政公职局,Direcção dos Serviços de Administração e Função Pública,, （853）28323623, info@safp.gov.mo,https://api.data.gov.mo/document/download/80ddc191-fc5d-4f00-868d-cdf0c6144997?token=null&isNeedFile=0&lang=TC,按需要,34,72,2020-07-03 09:22:20,2019-03-30 17:19:46
aeb5f3fd-b8d7-4562-8f4f-f28764eb7c9a,獲頒發體育獎金獎狀資料,获颁發体育奖金奖状资料, ,,獲頒發體育獎金獎狀人數,获颁發体育奖金奖状人数, ,,體育   ,体育   ,Desporto   ,,完全開放,XLSX,否,體育局,体育局,Instituto do Desporto,,28580762,info@sport.gov.mo,https://api.data.gov.mo/document/download/aeb5f3fd-b8d7-4562-8f4f-f28764eb7c9a?token=null&isNeedFile=0&lang=TC,每年,44,72,2020-10-30 16:59:01,2020-10-28 15:59:50
cba1cb16-89cd-41f1-a45c-85a145c9c74f,澳門元匯率,澳门元汇率,CÂMBIOS,,由1988年至今的每百外幣兌澳門元的期末匯率。,由1988年至今的每百外币兑澳门元的期末汇率。,"Taxas de câmbio de conjuntos de 100 unidades de moedas externas em relação à Pataca (reportadas ao final de período), registadas desde 1988 até ao momento presente.",,創業及營商   ,创业及营商   ,Empreendedorismo e Negócios   ,,完全開放,XLSX,否,澳門金融管理局,澳門金融管理局,AMCM,,金融管理局/83952532,金融管理局/dee@amcm.gov.mo,https://api.data.gov.mo/document/download/cba1cb16-89cd-41f1-a45c-85a145c9c74f?token=null&isNeedFile=0&lang=TC,每月,35,72,2023-08-17 17:57:37,2021-10-27 11:10:12
